date,price,month,temp_avg,temp_min,temp_max,rain_sum,humid_avg,sunshine_sum,temp_diff,oil_diesel,oil_kerosene,cpi_total,cpi_veg_seaweed,cpi_veg_special,cpi_agri_special,gov_bond_1y,gov_bond_3y,epu,old_m2_raw,old_m2_sa,m2_sa,m2_raw
2017-05-23,7511.0,5,17.7,9.8,25.9,0.0,65.5,4.5,16.099999999999998,713.62,673.1,97.3983870967742,78.0464193548387,75.88035483870968,83.9811935483871,1.461,1.676,63.68193548387097,2449021.748387097,2452085.212903226,2307264.025806451,2309815.380645161
2017-05-24,7212.0,5,18.2,13.9,24.7,11.5,80.0,5.5,10.8,713.3,673.86,97.39167741935483,77.96948387096774,75.79187096774194,83.87483870967742,1.469,1.691,63.22838709677419,2449136.454838709,2452377.661290322,2307522.122580645,2310096.858064516
2017-05-25,6940.0,5,17.5,10.7,27.1,0.0,60.3,9.2,16.400000000000002,713.01,674.21,97.38496774193548,77.89254838709678,75.7033870967742,83.76848387096774,1.468,1.681,62.77483870967742,2449251.161290322,2452670.109677419,2307780.219354839,2310378.335483871
2017-05-26,8349.0,5,13.1,7.3,19.0,0.0,59.9,4.2,11.7,713.01,675.19,97.37825806451612,77.81561290322581,75.61490322580646,83.66212903225806,1.468,1.677,62.32129032258064,2449365.867741935,2452962.558064516,2308038.316129032,2310659.812903226
2017-05-27,8419.0,5,14.6,5.6,23.7,0.0,66.5,7.2,18.1,712.92,675.22,97.37154838709677,77.73867741935484,75.52641935483871,83.55577419354839,1.467666666666667,1.675333333333333,61.86774193548387,2449480.574193548,2453255.006451613,2308296.412903226,2310941.290322581
2017-05-28,7962.0,5,17.9,6.0,27.5,0.0,59.9,12.0,21.5,713.09,676.43,97.3648387096774,77.66174193548387,75.43793548387097,83.44941935483871,1.467333333333333,1.673666666666667,61.4141935483871,2449595.280645161,2453547.454838709,2308554.509677419,2311222.767741936
2017-05-29,7505.0,5,22.5,13.8,32.0,0.0,56.5,12.2,18.2,712.77,676.5,97.35812903225806,77.5848064516129,75.34945161290322,83.34306451612903,1.467,1.672,60.96064516129032,2449709.987096774,2453839.903225806,2308812.606451613,2311504.24516129
2017-05-30,7954.0,5,20.6,12.7,29.5,0.0,60.4,9.0,16.8,712.64,676.43,97.35141935483873,77.50787096774194,75.26096774193549,83.23670967741936,1.462,1.658,60.50709677419355,2449824.693548387,2454132.351612903,2309070.703225806,2311785.722580645
2017-05-31,8306.0,5,21.0,13.2,30.0,0.0,55.8,5.5,16.8,712.64,676.18,97.34470967741936,77.43093548387097,75.17248387096774,83.13035483870968,1.465,1.661,60.05354838709678,2449939.4,2454424.8,2309328.8,2312067.2
2017-06-01,7450.0,6,17.5,12.5,24.5,4.0,75.6,5.2,12.0,712.06,675.63,97.338,77.354,75.084,83.024,1.46,1.645,59.6,2450402.51,2454581.16,2309651.273333333,2312370.52
