date,price,month,temp_avg,temp_min,temp_max,rain_sum,humid_avg,sunshine_sum,temp_diff,oil_diesel,oil_kerosene,cpi_total,cpi_veg_seaweed,cpi_veg_special,cpi_agri_special,gov_bond_1y,gov_bond_3y,epu,old_m2_raw,old_m2_sa,m2_sa,m2_raw
2022-10-28,20297.0,10,13.7,11.0,17.6,0.0,80.4,9.7,6.600000000000001,1463.95,1419.96,109.0816129032258,107.1958064516129,106.6754838709678,105.8883870967742,3.728,4.112,124.4741935483871,3767819.232258064,3768064.703225806,3631371.816129032,3627343.080645161
2022-10-29,20699.0,10,14.8,10.4,20.4,0.0,76.3,9.6,9.999999999999998,1465.18,1420.13,109.0787096774194,106.7093548387097,106.1416129032258,105.6112903225806,3.746333333333333,4.136333333333333,123.8106451612903,3768532.75483871,3768559.835483871,3632111.377419355,3628516.987096774
2022-10-30,21264.0,10,15.5,11.1,21.4,0.0,74.3,9.8,10.3,1465.99,1419.86,109.0758064516129,106.2229032258064,105.6077419354839,105.3341935483871,3.764666666666667,4.160666666666667,123.1470967741935,3769246.277419355,3769054.967741936,3632850.938709677,3629690.893548387
2022-10-31,21829.0,10,15.2,12.4,19.9,0.0,68.4,8.9,7.499999999999998,1466.25,1419.47,109.0729032258064,105.7364516129032,105.0738709677419,105.0570967741936,3.783,4.185,122.4835483870968,3769959.8,3769550.1,3633590.5,3630864.8
2022-11-01,20579.0,11,14.3,11.2,18.4,0.0,80.8,9.6,7.199999999999999,1467.31,1419.61,109.07,105.25,104.54,104.78,3.766,4.068,121.82,3770896.073333333,3770286.623333334,3634749.03,3632206.453333333
2022-11-02,22040.0,11,12.6,9.4,17.3,0.0,72.8,9.7,7.9,1469.21,1420.45,109.0763333333333,105.1023333333333,104.3826666666667,104.8153333333333,3.863,4.095,122.0973333333333,3771832.346666667,3771023.146666667,3635907.56,3633548.106666666
2022-11-03,22391.0,11,11.9,6.7,17.1,0.0,64.4,9.4,10.400000000000002,1470.65,1420.91,109.0826666666667,104.9546666666667,104.2253333333333,104.8506666666667,3.901,4.158,122.3746666666667,3772768.62,3771759.67,3637066.09,3634889.76
2022-11-04,21594.0,11,9.4,8.5,11.5,0.0,58.0,7.1,3.0,1471.9,1420.2,109.089,104.807,104.068,104.886,3.902,4.118,122.652,3773704.893333333,3772496.193333333,3638224.62,3636231.413333333
2022-11-05,22873.0,11,9.4,5.6,12.8,0.0,59.8,9.8,7.200000000000001,1473.42,1421.43,109.0953333333333,104.6593333333333,103.9106666666667,104.9213333333333,3.911333333333333,4.140666666666667,122.9293333333333,3774641.166666667,3773232.716666667,3639383.15,3637573.066666666
2022-11-06,23860.5,11,10.5,5.2,14.9,0.0,64.9,8.8,9.7,1474.31,1420.79,109.1016666666667,104.5116666666667,103.7533333333333,104.9566666666667,3.920666666666667,4.163333333333333,123.2066666666667,3775577.44,3773969.24,3640541.68,3638914.72
2022-11-07,24848.0,11,11.5,7.0,17.4,0.0,65.0,9.6,10.4,1474.84,1421.16,109.108,104.364,103.596,104.992,3.93,4.186,123.484,3776513.713333333,3774705.763333333,3641700.21,3640256.373333333
2022-11-08,25701.0,11,12.4,7.7,17.4,0.0,75.5,9.4,9.7,1475.37,1421.2,109.1143333333333,104.2163333333333,103.4386666666667,105.0273333333333,3.93,4.156,123.7613333333333,3777449.986666666,3775442.286666667,3642858.74,3641598.026666666
2022-11-09,23940.0,11,12.9,7.5,18.9,0.0,66.9,9.3,11.4,1476.43,1422.09,109.1206666666667,104.0686666666667,103.2813333333333,105.0626666666667,3.911,4.086,124.0386666666667,3778386.26,3776178.81,3644017.27,3642939.68
2022-11-10,22974.0,11,15.6,10.4,21.9,0.0,57.6,6.9,11.499999999999998,1477.5,1422.76,109.127,103.921,103.124,105.098,3.905,4.033,124.316,3779322.533333333,3776915.333333333,3645175.8,3644281.333333333
2022-11-11,21681.0,11,17.5,13.4,23.4,0.0,58.9,5.5,9.999999999999998,1477.85,1421.54,109.1333333333333,103.7733333333333,102.9666666666667,105.1333333333333,3.836,3.834,124.5933333333333,3780258.806666667,3777651.856666666,3646334.33,3645622.986666666
2022-11-12,22164.0,11,19.0,15.1,22.9,9.7,80.4,2.5,7.799999999999999,1478.75,1422.47,109.1396666666667,103.6256666666667,102.8093333333333,105.1686666666667,3.847666666666667,3.839333333333333,124.8706666666667,3781195.08,3778388.38,3647492.86,3646964.64
2022-11-13,23900.0,11,11.5,10.2,19.5,7.4,77.8,0.0,9.3,1479.36,1422.87,109.146,103.478,102.652,105.204,3.859333333333333,3.844666666666667,125.148,3782131.353333333,3779124.903333333,3648651.39,3648306.293333333
2022-11-14,25636.0,11,10.9,9.2,14.0,0.0,67.4,5.9,4.800000000000001,1479.68,1423.24,109.1523333333333,103.3303333333333,102.4946666666667,105.2393333333333,3.871,3.85,125.4253333333333,3783067.626666666,3779861.426666667,3649809.92,3649647.946666666
